Customer ID,Successful_Facevalue,Failed_FaceValue,Estimated_Gross_Profit,Successful_Count,Failed_Count,Total_Count,Failure Rate,Airtime,Cabletv,Data,Electricity,Pin,Startimes
16414468728,"9,750.00",0.00,162.50,5.00,0.00,5.00,0.00,0.00,nan,0.00,nan,nan,nan
138455421218,"41,097,961.00","898,585.00","811,985.00","27,354.00",515.00,"27,869.00",0.02,0.01,nan,0.06,0.17,nan,nan
151172469278,"12,450.00",0.00,262.50,3.00,0.00,3.00,0.00,0.00,nan,0.00,nan,nan,nan
312645843913,"11,224,559.00","293,150.00","213,710.34","5,695.00",68.00,"5,763.00",0.01,0.00,0.09,0.04,0.05,nan,nan
315382484218,"38,295,158.00","567,280.00","658,504.91","33,634.00",229.00,"33,863.00",0.01,0.00,nan,0.05,nan,nan,nan
315468429624,"4,945,871.00","21,600.00","49,316.20","2,290.00",15.00,"2,305.00",0.01,0.00,0.00,0.03,0.00,nan,nan
373351941589,"58,250.00",0.00,"1,525.00",5.00,0.00,5.00,0.00,0.00,nan,nan,nan,nan,nan
412476446244,"434,024,282.05","2,091,840.35","6,706,152.55","371,574.00","1,389.00","372,963.00",0.00,0.00,nan,0.01,nan,nan,nan
416404425437,"7,300.00",0.00,260.00,2.00,0.00,2.00,0.00,0.00,nan,0.00,nan,nan,nan
431539048016,"49,983,280.00","916,919.00","664,967.33","51,753.00",917.00,"52,670.00",0.02,0.01,0.07,0.09,0.00,0.04,0.00
615674487699,"155,710.00","5,950.00","1,478.50",159.00,5.00,164.00,0.03,0.01,nan,0.07,nan,nan,nan
638422451183,950.00,0.00,7.50,1.00,0.00,1.00,0.00,0.00,nan,nan,nan,nan,nan
917000447287,700.00,"1,450.00",0.00,1.00,2.00,3.00,0.67,nan,0.50,nan,1.00,nan,nan
938425413558,"2,900.00",0.00,40.00,2.00,0.00,2.00,0.00,nan,nan,0.00,nan,nan,nan
1284897443076,"9,066,669.00","69,716.00","191,794.67","5,635.00",33.00,"5,668.00",0.01,0.00,nan,0.02,nan,nan,nan
1315619422232,"1,633,932.00","61,515.00","29,679.11",847.00,19.00,866.00,0.02,0.02,0.00,0.03,0.12,nan,nan
1733499421416,"4,150.00",0.00,87.50,1.00,0.00,1.00,0.00,0.00,nan,nan,nan,nan,nan
2315666486446,"186,150.00","3,450.00",0.00,165.00,3.00,168.00,0.02,0.02,nan,nan,nan,nan,nan
2326019439095,"1,150.00",0.00,12.50,1.00,0.00,1.00,0.00,0.00,nan,nan,nan,nan,nan
2711999437214,"145,110.00","153,600.00","1,149.15",32.00,4.00,36.00,0.11,0.00,0.00,0.00,0.50,0.00,nan
3122784473224,"2,890.00",0.00,55.65,2.00,0.00,2.00,0.00,0.00,nan,nan,nan,nan,nan
3160254413516,"8,724,796.00","156,589.00","111,081.71","8,510.00",159.00,"8,669.00",0.02,0.01,nan,0.36,nan,nan,nan
3315408484157,0.00,"48,900.00",0.00,0.00,10.00,10.00,1.00,1.00,nan,nan,nan,nan,nan
3733625420153,"1,650.00",0.00,20.00,1.00,0.00,1.00,0.00,0.00,nan,nan,nan,nan,nan
3733677491279,"57,335.00","4,900.00",514.90,58.00,4.00,62.00,0.06,0.05,nan,0.05,0.50,nan,nan
4315456478990,"15,800.00","65,150.00",0.00,2.00,11.00,13.00,0.85,0.85,nan,nan,nan,nan,nan
4373359549892,"11,200.00","2,200.00",239.00,6.00,2.00,8.00,0.25,0.14,nan,1.00,nan,nan,nan
4732579472580,"5,650.00",0.00,250.00,1.00,0.00,1.00,0.00,nan,nan,0.00,nan,nan,nan
5315668420288,"2,150.00",0.00,90.00,1.00,0.00,1.00,0.00,nan,nan,nan,nan,0.00,nan
5365347429637,"14,118,401.00","405,026.00","254,857.21","10,450.00",313.00,"10,763.00",0.03,0.03,nan,0.04,nan,nan,nan
5704313452049,"13,200.00",0.00,259.00,8.00,0.00,8.00,0.00,0.00,nan,nan,nan,nan,nan
6312817441723,"20,309.00","2,000.00",296.97,15.00,2.00,17.00,0.12,0.00,nan,0.67,nan,nan,nan
6315476430868,"627,750.00","27,750.00",467.20,837.00,37.00,874.00,0.04,0.04,nan,nan,nan,nan,nan
7315606457522,"1,662,148.00","18,800.00","28,894.54","1,070.00",10.00,"1,080.00",0.01,0.01,0.00,0.02,0.00,nan,nan
7373362945817,"985,100.00","137,600.00","85,370.00",230.00,64.00,294.00,0.22,nan,nan,nan,nan,0.22,nan
7733525453138,"168,300.00","3,300.00",0.00,102.00,2.00,104.00,0.02,0.02,nan,nan,nan,nan,nan
8156589470954,0.00,"96,750.00",0.00,0.00,15.00,15.00,1.00,1.00,nan,nan,nan,nan,nan
8304555449023,"110,830,846.09","1,578,697.00","1,881,583.31","78,463.00",421.00,"78,884.00",0.01,0.00,0.01,0.01,0.17,0.00,nan
8373358948958,"31,550.00","1,150.00",526.50,19.00,1.00,20.00,0.05,0.05,nan,nan,nan,nan,nan
9166616442567,"1,593,789.00","36,975.00","21,645.67","1,356.00",30.00,"1,386.00",0.02,0.01,0.00,0.05,0.00,nan,0.00
9315518483834,"86,247,448.00","1,215,519.00","2,353,632.65","42,788.00",485.00,"43,273.00",0.01,0.00,nan,0.01,nan,nan,nan
33733665459469,"3,550.00","1,650.00",25.00,3.00,1.00,4.00,0.25,0.00,nan,1.00,0.00,nan,nan
33733675434772,"2,750.00",0.00,20.00,3.00,0.00,3.00,0.00,0.00,nan,nan,nan,nan,nan
33733678463596,"272,304.00","6,250.00","3,403.49",252.00,5.00,257.00,0.02,0.02,nan,0.00,0.33,nan,nan
53733683488385,"17,100.00",0.00,2.50,2.00,0.00,2.00,0.00,0.00,0.00,nan,nan,nan,nan
83733676454855,"172,298.00","73,475.88","2,382.24",112.00,17.00,129.00,0.13,0.03,nan,0.52,0.33,nan,nan
91315804436914,0.00,"4,350.00",0.00,0.00,1.00,1.00,1.00,nan,nan,nan,nan,1.00,nan
93733693420416,"10,100.00",0.00,156.50,6.00,0.00,6.00,0.00,0.00,nan,0.00,nan,nan,nan
93733698412253,0.00,670.00,0.00,0.00,1.00,1.00,1.00,nan,nan,1.00,nan,nan,nan
